clade_name	NCBI_tax_id	CA01	CA02	CA03	CA04	CA05	CA06	CA08	CA12	CA13	CA14	CA15	CA16	CA17	CA18	CA19	CA20	CA21	CA22	CA23	CA24	CA25	CA26	CA27	CA28	CA29	CA30	CA31	CA32	CA33	CA34	CA35	CA36	CA37	CA38	CA39	CA40	CA41
s__Actinomyces_sp_oral_taxon_181	0	0.00756	0.0	0.0	0.0	0.0	0.0	0.0	0.01217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_stercoris	0	0.00701	0.01706	0.0	2.17856	3.76336	0.0	17.63494	0.05195	0.05445	0.06486	0.075	0.11287	0.0734	0.82191	4.4662	1.12444	0.0	0.0	0.18384	0.0045	0.15055	0.60496	0.06216	0.18309	6.18897	0.38615	10.21965	7.6906	0.17216	2.22017	3.326	0.44592	9.36685	0.0	0.74918	0.00866	0.00542
s__Actinomyces_graevenitzii	0	0.00597	0.0	0.0	0.0	0.0	0.0	0.0	0.02372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00259	0.0
s__Parvimonas_micra	0	0.00489	0.0	0.0	0.0	0.0	0.00151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalibacterium_prausnitzii	0	0.00401	2.30131	7.81365	18.96907	3.95593	2.53488	0.70707	13.52834	4.96749	4.21325	8.0794	23.58288	26.55502	2.29068	14.89381	15.56059	0.00478	0.05254	32.51208	1.65361	11.3773	0.00294	4.60406	23.42711	0.98466	17.64282	0.0	2.05961	10.8395	9.4669	13.35103	0.01755	0.01033	0.28568	22.49928	17.12665	27.37138
s__Eubacterium_sulci	0	0.00399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03236	0.0	0.0	0.00284	0.0
s__Firmicutes_bacterium_CAG_145	0	0.00343	0.08512	0.0	0.0	0.07636	1.61834	0.0	0.04955	0.00983	0.00396	0.0	0.00138	0.00891	0.0	0.0	0.0323	0.0	0.0	0.0	0.0	0.0	0.01254	0.0	0.06584	0.02983	0.0	0.0	0.0	0.03904	0.0	0.0	0.0	0.0	0.0	0.0	0.07583	0.0
s__Sellimonas_intestinalis	0	0.00313	0.0	0.0	0.0	0.59954	0.16473	0.00506	0.00202	0.0	0.0	0.0	0.0	0.0	0.0	0.8281	0.0	0.0	0.01617	0.0	0.0	0.0	2.47054	0.11796	0.0	0.1078	0.0	0.0	0.0	0.0	0.06186	0.10251	0.0	0.0	0.00249	0.0	0.0	0.0
s__Phascolarctobacterium_succinatutens	0	0.00294	0.0	0.0	0.0	0.0	0.0	0.0	4.95397	3.53356	3.70584	3.65021	0.0	4.65791	0.81197	0.0	0.0	0.0	0.43005	0.0	0.0	0.66928	0.0	0.0	0.68129	0.0	0.0	0.0	0.0	0.0	0.3601	0.0	3.31644	0.0	3.49274	1.8371	0.09316	0.44581
s__Eisenbergiella_tayi	0	0.00235	0.14723	0.00118	0.0	0.09797	0.03125	0.0	0.01199	0.16585	0.16089	0.0	0.0	0.0	0.04957	0.0	0.0	0.0	0.01163	0.0	0.0222	0.00245	0.0	0.0	0.0031	1.7476	0.0	0.0	0.0	0.01316	0.01058	0.0	0.0	0.0	0.0	0.00169	0.05774	0.0
