clade_name	NCBI_tax_id	op146_M1	op147_M1	op151_M1	op152_M1	op153_M1	op155_M1	op157_M1	op158_M1	op159_M1	op160_M1	op161_M1	op162_M1	op163_M1	op164_M1	op167_M1	op168_M1	op174_M1	op175_M1	op176_M1	op177_M1
s__Dorea_formicigenerans	0	0.0	1.02041	0.29817	1.83981	1.12916	0.0	1.07692	6.53349	0.41941	3.35475	0.0	2.83592	2.68925	3.69773	0.48976	0.70221	1.19725	0.13433	1.39212	0.02035
s__Enterococcus_hirae	0	0.0	0.87303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17003
s__Bifidobacterium_bifidum	0	0.0	0.76803	0.0	0.0	8.64916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_intestinalis	0	0.0	0.60927	0.22052	0.74292	5.77493	0.09618	0.0	0.03812	0.184	0.30108	12.24054	0.02386	0.0	0.13983	0.59342	0.04258	0.48865	0.21308	1.15013	0.64257
s__Hafnia_paralvei	0	0.0	0.508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03975	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_variicola	0	0.0	0.46133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35388	0.0	0.0
s__Intestinibacter_bartlettii	0	0.0	0.28323	0.0	0.26577	0.15434	0.05598	0.0	0.0	0.23051	0.0	0.15055	0.0	0.0	0.0	0.03096	0.00216	0.00531	0.0	0.03571	0.01691
s__Klebsiella_quasipneumoniae	0	0.0	0.23509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11438	0.0	0.0
s__Dialister_invisus	0	0.0	0.20469	0.0	0.0	0.06215	0.01749	0.01234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43019	0.0	0.0	0.90121
s__Gemmiger_formicilis	0	0.0	0.16539	0.21379	0.59928	0.02921	0.0	0.68214	0.15798	1.28474	0.22914	0.0	0.00742	0.41648	0.1815	0.04239	0.45001	0.0	0.09526	0.47459	0.06224
s__Lactobacillus_salivarius	0	0.0	0.14039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Coprococcus_eutactus	0	0.0	0.14033	0.0	0.0	0.0	0.0	5.07067	0.43434	0.0	0.89106	0.0	0.0	0.00022	5.48493	0.0	9.17763	0.0	0.01943	0.00733	0.60586
s__Veillonella_atypica	0	0.0	0.10209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09169	0.0	0.0
s__Bacteroides_dorei	0	0.0	0.08944	3.8304	0.07447	0.0	0.0	1.06706	0.90189	0.50181	3.12473	0.0	0.05832	0.12668	0.00439	0.0	1.35297	0.01051	1.7346	0.2804	1.24447
s__Roseburia_hominis	0	0.0	0.08367	1.2773	0.0237	0.41132	0.20503	0.87835	0.01523	0.0	0.09071	0.0	0.31428	0.30043	0.44165	1.34664	0.0	0.0	1.23533	0.03373	0.23819
s__Leuconostoc_carnosum	0	0.0	0.07762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_ICM47	0	0.0	0.06407	0.0	0.0	0.00474	0.0	0.0	0.0	0.01872	0.0	0.0	0.0	0.0	0.00384	0.0	0.0	0.00138	0.0	0.01111	0.0
s__Blautia_wexlerae	0	0.0	0.06108	0.67235	0.83101	3.97519	0.04745	0.11515	0.69318	0.08476	0.27855	21.46757	0.04868	1.13483	0.62046	0.45707	0.50044	0.09639	0.21709	0.52577	0.40874
s__Asaccharobacter_celatus	0	0.0	0.0523	0.0	0.11973	0.0	0.01122	1.6831	0.00335	1.28106	0.0	0.0	1.15279	0.10903	0.0	0.00043	0.12647	1.38653	0.0	0.03317	0.0
s__Streptococcus_mutans	0	0.0	0.05106	0.0	0.0	0.0	0.02878	0.0	0.0	0.0	0.0	0.0	0.01711	0.01224	0.0	0.0	0.0	0.11471	0.0	0.0	0.0
s__Haemophilus_parainfluenzae	0	0.0	0.04561	0.0	0.26916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53943	0.03471	0.0
