clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Anaerostipes_hadrus	0	0.11768	0.72577	0.47335	0.08067	0.59077	1.31111	0.44407	0.04526	1.16292	0.17353	0.39109	4.02288	0.82485	0.05017	0.14018	0.2308	0.15436	0.11334	0.29098	0.0	0.64527	0.0607	0.30848	0.01595	0.08266	0.46229	0.05301	0.09302	2.54071	0.13219	0.2893
s__Blautia_obeum	0	0.11438	0.0454	0.34853	0.04333	0.52264	0.53313	0.13076	0.01777	0.40829	0.05481	0.17936	0.21317	0.03342	0.04478	0.01176	0.02539	0.01478	0.00768	0.12987	0.14146	0.1591	0.07509	0.06834	0.02814	0.02162	0.0933	0.0319	0.00774	0.32201	0.19076	0.04456
s__Coprococcus_eutactus	0	0.1081	0.0	0.03158	0.0447	0.83054	0.24358	0.05485	0.03533	0.1043	1.58363	0.0	0.1278	1.13652	0.05287	0.0	0.0	0.0	2.83635	2.74541	0.00057	0.0	0.02074	0.03734	0.52196	0.18447	0.07682	0.36813	0.0	2.59408	1.84411	0.29253
s__Ruminococcus_bicirculans	0	0.10542	0.0	0.01727	0.0	0.00682	0.00117	0.02694	0.06198	0.24445	0.0	0.0	0.10349	0.00202	0.0	0.0	0.0	0.0	0.0	0.0	0.12782	0.0	0.01505	0.0024	0.01352	0.0	0.00633	0.24358	0.00443	0.10424	0.0	0.0
s__Roseburia_hominis	0	0.10158	0.0	0.04788	0.00112	0.01918	0.0	0.12599	0.13085	0.0	0.02892	0.00462	0.22518	0.02032	0.02558	0.0	0.0	0.0	0.04184	0.08104	0.00175	0.0	0.03218	0.07151	0.09795	0.00716	0.01078	0.0192	0.0	0.28689	0.02616	0.01177
s__Bacteroides_vulgatus	0	0.09331	0.0	0.0	0.0	0.00268	0.00363	0.09074	0.00752	1.85548	0.00574	0.15412	3.93678	0.02176	0.0	0.0	0.02886	0.0	0.0	0.45383	0.56024	0.05965	0.02337	0.16863	0.06309	0.0	0.0	0.1546	0.0	0.0	0.00434	0.0
s__Ruminococcus_callidus	0	0.08684	0.0	0.09464	0.0	0.01474	0.00117	0.07185	0.0	0.0	0.00223	0.0	0.0	0.0072	0.0	0.0	0.0	0.0	0.0	0.00124	0.00334	0.0	0.03188	0.0	0.0	0.0	0.00547	0.0	0.00183	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_170	0	0.07723	0.0	0.0	0.0	0.00276	0.0	0.22778	0.0	0.00779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03711	0.01804	2.31506	0.0	0.02442	0.00748	0.29239	0.0004	0.00298	0.0	0.0	0.01103	0.06651	0.00764
s__Gemmiger_formicilis	0	0.07181	0.02281	0.51843	0.09969	0.14504	0.17376	0.32193	0.05179	0.30749	0.15284	0.10164	0.11319	0.20534	0.22671	0.03796	0.04742	0.05016	0.21775	0.25124	0.27059	0.08125	0.12553	0.16122	0.0418	0.01454	0.03223	0.05326	0.00683	0.11983	0.11382	0.04624
s__Butyrivibrio_sp_CAG_318	0	0.06558	0.0	0.0	0.0	0.16789	0.05044	0.0	0.0	0.04594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61609	0.0	0.68756	0.0	0.0	0.00014	0.05475	0.0	0.0	1.60186	0.00076	0.17677	0.0	0.0
