model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max	n_studies_diag
diva-beta-vae	YuJ_2015	0.9797297297297296	0.3904566635601118		1.2412670766236366e-16	0.0		1522	128					0
diva-beta-vae	WirbelJ_2018	0.9571794871794872	0.3846076172770147		0.0068802091615378	0.0018340710676346		1525	125					0
diva-beta-vae	YachidaS_2019	0.7037145067767805	0.5484176421659861		0.0008758352082351	0.0013035797342762		1034	616					0
diva-beta-vae	ThomasAM_2018a	0.8924542358450406	0.5379599502236572		0.0	0.0019760970702147		1570	80					0
diva-beta-vae	ThomasAM_2018b	0.9508928571428572	0.3799498746867168		1.2412670766236366e-16	0.0		1590	60					0
diva-beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
diva-beta-vae	HanniganGD_2017	0.9353819020485687	0.5614183019136579		0.0053239713749994	0.0033001268623121		1569	81					0
diva-beta-vae	GuptaA_2019	0.9666666666666666	0.3866518353726363		1.2412670766236366e-16	0.0		1590	60					0
beta-vae	FengQ_2015	0.3770820379834498	0.2151713540952925		0.0080350384615406	0.0045124248935467		1496	154					0
beta-vae	VogtmannE_2016	0.3397435897435897	0.2043842384608453		0.0197577371890031	0.0124004158726226		1540	110					0
beta-vae	ZellerG_2014	0.3849881431075368	0.1954338706943896		0.0158687172273202	0.0084474480153799		1494	156					0
beta-vae	YuJ_2015	0.5664664664664665	0.232614562204914		0.0314149297105632	0.01209470670571		1522	128					0
beta-vae	WirbelJ_2018	0.5344871794871796	0.2264503793851437		0.0150224464968533	0.0062377782535729		1525	125					0
beta-vae	YachidaS_2019	0.3132945252427753	0.2279768807250131		0.003484329951413	0.0026714487637212		1034	616					0
beta-vae	ThomasAM_2018a	0.4635057471264368	0.2222417013437295		0.0321156312577506	0.0159398469890621		1570	80					0
beta-vae	ThomasAM_2018b	0.4986607142857142	0.1974314791795303		0.0206156248018193	0.0112274616367224		1590	60					0
beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
beta-vae	HanniganGD_2017	0.3220051553384886	0.1857640488261033		0.0248321210759163	0.0149856917159354		1569	81					0
beta-vae	GuptaA_2019	0.6533333333333333	0.2648233507188581		0.0380058475033045	0.0146232578745588		1590	60					0
phylodiva-treenbvae	FengQ_2015	0.4694014346157929	0.2720237985870748		0.0257490337476803	0.0139361407259556		1496	154					0
phylodiva-treenbvae	VogtmannE_2016	0.3717948717948718	0.221689551318121		0.0078509286627665	0.0060476962612206		1540	110					0
phylodiva-treenbvae	ZellerG_2014	0.4546619926452899	0.2384541141717754		0.0154115766618239	0.008493636397938		1494	156					0
