clade_name	NCBI_tax_id	U_VS-1226-261	U_VS-1226-705	U_VS-1506-127	U_VS-1506-333	U_VS-1540-350	U_VS-1540-523	U_VS-1590-365	U_VS-1590-529	U_VS-1592-169	U_VS-1592-367	U_VS-1651-391	U_VS-1651-541	U_VS-1686-403	U_VS-1686-548	U_VS-3059-508	U_VS-3059-665	U_VS-3145-692	U_VS-3145-837	U_VS-4218-876	U_VS-4218-901	U_VS-P610052-1	U_VS-P610096-1	U_VS-P610119-1	U_VS-P610129-1
s__Atopobium_rimae	0	0.0	0.00136	0.00473	0.00141	0.0	0.0	0.00265	0.00079	0.00354	0.0	0.0	0.0	0.01084	0.0	0.01908	0.00822	0.0084	0.00868	0.00587	0.0004	0.0	0.0	0.0	0.0
s__Veillonella_infantium	0	0.0	0.00129	0.01555	0.0	0.0	0.03033	0.0	0.0	0.0	0.00854	0.0	0.0	0.0	0.0	0.0	0.00237	0.00048	0.01158	0.0	0.0	0.0	0.0	0.01172	0.0
s__Methanobrevibacter_smithii	0	0.0	0.00107	0.02164	0.70979	9.22824	0.03345	38.8312	3.1874	0.25109	0.00945	3.75964	3.91028	4.3778	0.02868	0.01972	0.1476	1.02365	0.05424	6.01149	1.00898	3.88449	0.19381	0.0	0.50549
s__Veillonella_atypica	0	0.0	0.00106	0.00222	0.0	0.0	0.02438	0.0	0.0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.00098	0.00013	0.00491	0.0	0.0	0.0	0.00048	0.00083	0.0
s__Streptococcus_pyogenes	0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.00551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_lutetiensis	0	0.0	0.00099	0.01167	0.25159	0.0	0.0	0.0	0.0	2.45565	0.06154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.25822	0.0	0.01345	0.91752	8.78177	6.34902
s__Gemella_morbillorum	0	0.0	0.00084	0.0	0.0	0.0	0.0	0.00628	0.00699	0.0	0.0	0.0	0.00075	0.03205	0.00154	0.02833	0.00531	0.00701	0.01001	0.02309	0.0	0.0	0.00324	0.00907	0.0
s__Bifidobacterium_catenulatum	0	0.0	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rothia_dentocariosa	0	0.0	0.00059	0.00772	0.00084	0.0	0.0	0.0	0.0	0.00352	7e-05	0.0	0.00012	0.00564	0.0	0.00412	0.01015	0.00427	0.01046	0.0	0.00274	0.0	0.0	0.0	0.0
s__Actinomyces_sp_HPA0247	0	0.0	0.00054	0.0092	0.00506	0.0	0.00034	0.0	0.0	0.0	0.0	0.02227	0.00829	0.00181	0.0	0.00058	0.00159	0.01364	0.03656	0.01115	0.01184	0.01729	0.0	0.00441	0.0157
s__Bacteroides_uniformis	0	0.0	0.00041	0.0	0.02283	0.0	0.0	0.0	0.0	0.00091	0.00409	0.08921	2.14866	0.02926	0.0	0.0	0.00399	0.08226	0.03132	0.0	0.0	0.0064	0.00604	0.0404	0.0
s__Brachyspira_pilosicoli	0	0.0	0.00031	1.39604	0.0	0.03947	0.41918	0.04882	0.06212	0.25521	1.00408	0.0	0.06199	0.0367	0.41876	0.0	0.0	0.0	0.0	0.00243	0.00811	0.0	0.0	0.02206	0.0
s__Pseudopropionibacterium_propionicum	0	0.0	0.00031	0.00029	0.0	0.00293	0.0011	0.0	0.00089	0.0	0.0	0.0	0.0	0.02007	0.0	0.00247	0.00508	0.00261	0.00827	0.0088	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_HMSC035G02	0	0.0	0.0003	0.05257	0.01709	0.0	0.00403	0.00629	0.01082	0.01623	0.00085	0.0011	0.00112	0.02208	0.0	0.0122	0.00928	0.04172	0.19057	0.00336	0.00844	0.03533	0.0	0.05585	0.0
