clade_name	NCBI_tax_id	H1	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H2	H20	H21	H22	H23	H24	H25	H26	H27	H3	H4	H5	H6	H7	H8	H9	IT1	IT11	IT13	IT14	IT2	IT3	IT4	IT5	IT6	IT7	IT8
s__Aggregatibacter_segnis	0	0.01341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fretibacterium_fastidiosum	0	0.01254	0.01008	0.02438	0.00957	0.00565	0.0059	0.00883	0.0	0.0035	0.0	0.0	0.01008	0.04957	0.02897	0.0	0.0	0.00704	0.0	0.0	0.0	0.00334	0.00695	0.01717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00118	0.0	0.0
s__Turicibacter_sanguinis	0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00839	0.0	0.0	0.0	0.17313	0.0	0.0	0.01369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01471	0.00137	0.0	0.0	0.0	0.0	0.0
s__Coprococcus_eutactus	0	0.00903	1.5978	0.96588	1.00358	1.06214	0.73577	0.0341	0.0	0.0011	0.0	0.89673	0.06244	0.00217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22522	0.0	0.42919	0.10503	0.0	0.0	0.03223	3.41472	19.68656	17.35103	0.0	0.0	0.0	4.45312	0.0	0.0	0.0	22.97497
s__Firmicutes_bacterium_CAG_83	0	0.00655	0.06242	0.03426	0.01413	0.05263	0.13125	0.0	0.02816	0.02429	0.06637	0.0	0.0	0.07601	1.08889	0.08795	0.0	0.03626	0.17061	0.05996	0.17541	0.24276	0.04318	0.01167	0.07956	0.0	0.0	0.12127	0.67369	0.06462	0.11516	0.0	0.48349	0.08175	0.21154	0.0	0.0	0.02641	0.0
s__Romboutsia_ilealis	0	0.0058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Agathobaculum_butyriciproducens	0	0.00451	0.90771	0.81811	0.74725	0.16937	0.23815	0.13929	2.00565	0.68914	0.90483	0.15249	0.00227	0.03565	2.14179	1.64475	0.1388	0.26409	2.13274	1.50293	0.0	0.23174	0.07407	0.02294	0.22758	0.0	0.06368	0.26343	0.20657	0.21871	0.18324	0.61422	0.03181	0.19025	0.06977	0.26717	0.46877	1.25663	1.00405
s__Prevotella_sp_CAG_5226	0	0.00398	2.55257	2.23651	1.72812	0.02322	0.00996	0.0	0.0	0.00159	1.66241	4.15556	1.64672	0.0219	0.06605	0.56745	0.29366	1.13053	0.25339	0.31873	0.54277	0.0	0.70921	1.16042	7.38718	0.5206	0.04175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Mitsuokella_multacida	0	0.00309	0.7122	0.69523	0.54177	0.0	0.0	0.0	0.0	0.0	0.0	0.19524	0.0	0.02892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_253	0	0.00209	0.00177	0.0	0.0	0.0	0.0	0.00777	0.01113	0.0	0.0	0.0	0.0	0.01303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02833	0.01297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14419	0.0
