clade_name	NCBI_tax_id	SAMEA1966431	SAMEA2017457	SAMEA2017458	SAMEA2017459	SAMEA2017460	SAMEA2055106	SAMEA2055107	SAMEA2055108	SAMEA2055109	SAMEA2055266	SAMEA2055267	SAMEA2055268	SAMEA2055269	SAMEA2055272	SAMEA2055273	SAMEA2055274	SAMEA2055275	SAMEA2055276	SAMEA2055277	SAMEA2055278	SAMEA2055279	SAMEA2055280	SAMEA2055281	SAMEA2055282	SAMEA2055283	SAMEA2055284	SAMEA2055285	SAMEA2055286	SAMEA2055287	SAMEA2055288	SAMEA2055289	SAMEA2055290	SAMEA2055291	SAMEA2055292	SAMEA2055293	SAMEA2055294
s__Comamonas_kerstersii	0	0.0	0.0	0.0	0.0	0.0	0.00757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enorma_massiliensis	0	0.0	0.0	0.0	0.0	0.0	0.00718	0.0	0.0	0.0	0.0	0.00064	0.00392	0.00396	0.00609	0.0	0.00897	0.0	0.0	0.0	0.0	0.0	0.0009	0.00639	0.0	0.00344	0.0	0.0	0.0	0.0	0.0	0.0	0.00102	0.00228	0.0	0.0	0.01196
s__Streptococcus_infantis	0	0.0	0.0	0.0	0.0	0.0	0.00457	0.0	0.0	0.0	0.05359	0.0	0.0	0.0	0.0	0.0	0.10302	0.0	0.0	0.0	0.0	0.00299	0.3579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00583	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_clarus	0	0.0	0.0	0.0	0.0	0.0	0.00382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144	0.04879	0.0	0.0	0.0	0.0	0.0	0.0	0.0316	0.02679	0.0	0.0	0.0	0.0
s__Actinomyces_sp_HMSC035G02	0	0.0	0.0	0.0	0.0	0.0	0.00257	0.0	0.0	0.0	0.0439	0.00279	0.0	0.0	0.0	0.0	0.00522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sharpea_azabuensis	0	0.0	0.0	0.0	0.0	0.0	0.00255	0.0	0.0	0.0	0.00398	0.00156	0.00466	0.00975	0.0	0.0	0.00206	0.0	0.0	0.00406	0.01162	0.0	0.0	0.0	0.0	0.14184	0.25965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00453	0.0
s__Akkermansia_muciniphila	0	0.0	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	1.24748	1.50132	0.02317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38897	1.16635	0.0	0.04835	0.03822	1.3707	0.0	0.0	0.0	0.04152	0.0	0.0	0.0	0.0
s__Actinomyces_sp_oral_taxon_181	0	0.0	0.0	0.0	0.0	0.0	0.00136	0.0	0.0	0.0	0.0211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_stercorea	0	0.0	0.0	0.0	0.0	0.0	0.00072	3.35787	0.29058	0.24226	3.96102	4.70786	0.0	0.03882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55397	7.90335	0.0	0.0	0.0	0.0	0.0	0.0	0.35065	1.09938	0.5761	0.30698	0.0	2.01888	1.32986	0.0
s__Clostridium_sp_CAG_964	0	0.0	0.0	0.0	0.0	0.0	0.0	7.96143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
